artists,album_name,track_name
Sade,Lovers Rock,By Your Side
Billie Marten,Writing of Blues and Yellows (Deluxe Version),La Lune
Sade,The Best of Sade,Smooth Operator - Single Version
Charlie Cunningham,Lines,Minimum
Seal,Best 1991 - 2004,Crazy
Henry Jackman,X-MEN: FIRST CLASS,First Class
Alexi Murdoch,Four Songs,Orange Sky
Leona Lewis,Spirit,Better in Time
Sade,The Best of Sade,Kiss of Life
Craig David,Born to Do It,Walking Away
Sade,Love Deluxe,No Ordinary Love
Simply Red,A New Flame (Expanded Version),If You Don't Know Me by Now - 2008 Remaster
Sade,The Ultimate Collection,Smooth Operator - Remastered
Sade,Diamond Life,Smooth Operator
Paolo Nutini,These Streets,New Shoes
Nicholas Hooper,Harry Potter and the Half-Blood Prince (Original Motion Picture Soundtrack),Harry & Hermione
Craig David;Sting,Slicker than Your Average,Rise & Fall (feat. Sting)
Nicholas Hooper,Harry Potter and the Half-Blood Prince (Original Motion Picture Soundtrack),When Ginny Kissed Harry
Simply Red,Picture Book (Expanded Version),Holding Back the Years - 2008 Remaster
Sade,Diamond Life,Your Love Is King
Leona Lewis,Spirit,Run
The Seekers,The Seekers,I'll Never Find Another You
Peter Sarstedt,The Lost Album,Where Do You Go To (My Lovely) - Re-Recorded
Craig David,Born to Do It,Fill Me In
Sade,The Best of Sade,Hang on to Your Love
Sade,Love Deluxe,Cherish the Day
Patrick Doyle,Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack),Harry in Winter
Richard Hawley,Lady's Bridge,Tonight the Streets Are Ours
Simply Red,Sunrise European Single,Sunrise
Alexi Murdoch,Four Songs,Song For You
The Shadows,Another String of Hot Hits (And More!),Apache
Craig David,The Story Goes...,Don't Love You No More (I'm Sorry)
Seal,Best 1991 - 2004,Kiss from a Rose - Acoustic
Sade,The Best of Sade,Paradise
Sade,Promise,The Sweetest Taboo
Leona Lewis,Spirit,A Moment Like This
William Walton;The Cambridge Singers;Aurora Orchestra;John Rutter,This is the Day: Music on Royal Occasions,Henry V: Henry V: Touch her soft lips and part
Nicholas Hooper,Harry Potter and the Half-Blood Prince (Original Motion Picture Soundtrack),In Noctem
Lisa Stansfield;Ian Devaney;Andy Morris,Affection,All Around the World - Remastered
Nicholas Hooper,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack),Dumbledore's Army
Finley Quaye;William Orbit,Much More Than Much Love,Dice
Nicholas Hooper,Harry Potter And The Order Of The Phoenix (Original Motion Picture Soundtrack),Fireworks
Eason Chan,黑·白·灰,十年
Beyond,華納廿三週年紀念精選系列 - Beyond,海闊天空
Eason Chan,Shall We Dance? Shall We Talk!,單車
Jason Chan,Can't Be Half,你瞞我瞞
Faye Wong,唱遊,紅豆
Karen Mok,就是莫文蔚,忽然之間
Jordan Chan,陳小春金碟鐵盒珍藏系列,相依為命
Khalil Fong,Timeless,Nothing's gonna change my love for you
Eason Chan,The Line-Up,明年今日
Joey Yung,我的驕傲,心淡
Sandy Lam,林憶蓮,至少還有你
Faye Wong,寓言,"給自己的情書 - ""笑忘書""廣東版"
Karen Mok,如果沒有你,如果沒有你
Eason Chan,Live For Today,歲月如歌
Leslie Cheung,紅,有心人
Ronald Cheng,鄭中基正宗 K 新曲精選,無賴
Leslie Cheung,寵愛,追
Sammi Cheng,螢光粉紅 (2nd Version),終身美麗 (電影“瘦身男女”主題曲)
Ekin Cheng,如果天空要下雨,甘心替代你
Aaron Smith;Luvli;Krono,Ibiza 2019,Dancin - Krono Remix
Aaron Smith;Krono;Luvli,Dancin (feat. Luvli) [Krono Remix],Dancin (feat. Luvli) - Krono Remix
Joe Smooth,Promised Land,Promised Land
Pinkfong,Pinkfong Animal Songs,Baby Shark
The Kiboomers,Top 30 Baby Songs,Rockabye Baby
PJ Masks,Here We Come,PJ Masks Theme Song
The Minions,Despicable Me 2 (Original Motion Picture Soundtrack),Y.M.C.A.
The Kiboomers,Baby Sleep Music,Rock a Bye Baby
The Learning Station,7 Days of the Week,7 Days of the Week
The Kiboomers,Baby Sleep Music,Twinkle Twinkle Little Star
Amy Liz,Kid Hits,Slippery Fish
Mother Goose Club,"Mother Goose Club Sings Nursery Rhymes Vol. 4: Row, Row, Row Your Rhyme",If You're Happy and You Know It
Mother Goose Club,"Mother Goose Club Sings Nursery Rhymes Vol. 4: Row, Row, Row Your Rhyme","Head, Shoulders, Knees and Toes"
Mother Goose Club,"Mother Goose Club Sings Nursery Rhymes Vol. 4: Row, Row, Row Your Rhyme",Abc Song
Mother Goose Club,"Mother Goose Club Sings Nursery Rhymes Vol. 4: Row, Row, Row Your Rhyme",Dinosaur Stomp
The Kiboomers,150 Preschool Songs,"Zoom, Zoom We're Going to the Moon"
The Kiboomers,150 Preschool Songs,The Party Freeze Song
Mother Goose Club,Mother Goose Club Sings Nursery Rhymes Vol. 5: Rhyme Around the Rosy,Mr. Sun
Toddler Tunes,Songs for Kids: Classic Children's Music,Itsy Bitsy Spider
Elizabeth Mitchell,You Are My Sunshine,You Are My Sunshine (Version 1)
Barney,"Run, Jump, Skip and Sing",I Love You
Cedarmont Kids,Bible Songs,Jesus Loves Me
Finding Hope,Our Love,3:00 AM
Ant Saunders,Yellow Hearts,Yellow Hearts
RŮDE,Eternal Youth,Eternal Youth
Tom Odell,Long Way Down (Deluxe),Another Love
potsu,i'm closing my eyes,i'm closing my eyes
Tom Odell,Long Way Down (Deluxe),Heal
ODESZA,A Moment Apart,A Moment Apart
j'san,"i'm in love with u, sorry","i'm in love with u, sorry"
The Deli,Vibes 2,5:32pm
keshi,just friends,just friends
[bsd.u],444,French Inhale
Jinsang,Life,Affection
Audrey Mika,Y U Gotta B Like That,Y U Gotta B Like That
ODESZA;Sasha Alex Sloan,A Moment Apart,Falls (feat. Sasha Alex Sloan)
SwuM;Idealism,With U,With U
potsu,[oops],[oops]
Elijah Who,Gentle Boy,my new love
eevee,unexpected,viola
LAKEY INSPIRED,Better Days,Better Days
eevee,ep seeds,m i s t
Moxas,Floor Seats (Text Back),Floor Seats (Text Back)
Home,Before the Night,We're Finally Landing
Elijah Who,Gentle Boy,this girl
Michael Carreon,Love Adolescent,The Simple Things
Mac Ayres,Drive Slow,Easy
ODESZA;Zyra,In Return,Say My Name (feat. Zyra)
ODESZA;WYNNE;Mansionair,A Moment Apart,Line Of Sight (feat. WYNNE & Mansionair)
Made in M;Smuv,Nest,Old Roots New Trees
Saib,Buena Vista,Sakura Trees
Mounika.;Cavetown,How Are You,Cut My Hair
Nujabes;Cise Star;Akin Yai,Modal Soul,Feather (feat. Cise Starr & Akin from CYNE)
potsu,lovesick,lovesick
Grizzly Bear,Veckatimest,Two Weeks
Kudasaibeats,Falling,The Girl I Haven't Met
Tom Odell,Long Way Down (Deluxe),Long Way Down
keshi,over u,over u
Jeff Bernat;Geologic Of The Blue Scholars,The Gentleman Approach,Call You Mine (feat. Geologic Of The Blue Scholars)
Nujabes;Shing02,Modal Soul,Luv(sic.) pt3 (feat. Shing02)
Lund,Gold,Alone
Elijah Who,Gentle Boy,i love being with you
ODESZA;Naomi Wild,A Moment Apart,Higher Ground (feat. Naomi Wild)
ODESZA,A Moment Apart,Late Night
Jeremy Passion,For More Than a Feeling,Lemonade - Ukulele Version
Tom Odell,Long Way Down (Deluxe),Grow Old with Me
Elijah Who,Gentle Boy,crush on you
Mac Ayres,Drive Slow,Slow Down
Elijah Who,i'm tired of feeling this way / lychee juice,i'm tired of feeling this way
Chrome Sparks,Sparks,Marijuana
Nohidea,osho,"sincerely, yours"
ODESZA;Madelyn Grant,In Return,Sun Models (feat. Madelyn Grant)
ODESZA,Summer's Gone,How Did I Get Here
eery,Her,Her
