name,artist,spotify_id,preview,img,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,acousticness_artist,danceability_artist,energy_artist,instrumentalness_artist,liveness_artist,speechiness_artist,valence_artist
Returning,Binary One,0jlQn5ENU6pt3yDRlMDgjB,no,no,0.139,0.0403,-30.162,0.0666,0.99,0.937,0.0921,0.0383,0.99,0.139,0.0403,0.937,0.0921,0.0666,0.0383
This View,Surfaces,4O7caZhpneiM52gAlCsTpq,no,no,0.812,0.769,-5.581,0.0442,0.0936,0.0,0.0621,0.782,0.33396800000000004,0.7065200000000001,0.59728,0.00019756639999999999,0.17542000000000002,0.08658800000000001,0.6770400000000002
forget her,girl in red,00gLisxOrLruNwJFdpkHc2,no,no,0.5329999999999999,0.313,-16.827,0.033,0.631,0.6809999999999999,0.07200000000000001,0.517,0.3852842727272728,0.5271818181818182,0.4539090909090909,0.2234554090909091,0.17678181818181818,0.043709090909090906,0.4345454545454545
Magica,Dream Runner,75D9esOK7ASfcREQAvbtql,no,no,0.0951,0.0872,-24.16800000000001,0.0371,0.944,0.96,0.0905,0.0389,0.9440000000000001,0.0951,0.0872,0.96,0.0905,0.0371,0.0389
For the Love of Love,Novo Talos,7KWhxUrK9ofPTn3ItWceR5,no,no,0.321,0.0258,-27.129,0.0454,0.995,0.915,0.13699999999999998,0.255,0.995,0.321,0.0258,0.915,0.13699999999999998,0.0454,0.255
Ain't Got No Haters (feat. Too Short),Ice Cube,3C2BKKKa7xrz2uWqIN1Mnh,no,no,0.7759999999999999,0.925,-2.134,0.0792,0.0543,0.000427,0.189,0.715,0.10482230994152053,0.7907485380116959,0.7134152046783623,0.01086894479532164,0.2791538011695908,0.2448175438596491,0.6487017543859651
Hushh,AViVA,6Jb7UPWUXDOrgdI0XnBSp5,no,no,0.758,0.721,-6.291,0.0582,0.103,0.000354,0.381,0.728,0.16736666666666666,0.6753333333333332,0.6056666666666666,0.00011839666666666665,0.22433333333333336,0.08933333333333332,0.609
Eenie Meenie,Sean Kingston,45O0tUN9Bh6LH4eNxQ07AT,no,no,0.7340000000000001,0.639,-3.241,0.0316,0.0348,0.0,0.102,0.836,0.11365880000000002,0.7489600000000002,0.7437199999999998,0.0,0.26884,0.07006,0.7539199999999998
Forbidden Voices,Martin Garrix,6EsH66Uto1zwZlDGQ6RokU,no,no,0.534,0.711,-5.9270000000000005,0.0368,0.05,0.0031,0.135,0.3,0.10526315384615388,0.5893846153846154,0.756692307692308,0.30662527307692306,0.2888153846153846,0.041188461538461535,0.23113846153846154
Shoot for the Stars (feat. Fivio Foreign),Lil Tjay,1O7DB16MQdAQVrybpA7GNW,no,no,0.7440000000000001,0.695,-6.773,0.125,0.0504,0.0,0.0829,0.501,0.21832440677966106,0.7064406779661018,0.6223898305084742,3.0984745762711862e-06,0.157042372881356,0.2150644067796611,0.4484644067796609
Supiste Hacerme Mal,Edwin Luna y La Trakalosa de Monterrey,4l2u1KZreH52vwqJmxLLm6,no,no,0.609,0.477,-4.232,0.0277,0.504,0.0,0.085,0.5529999999999999,0.504630909090909,0.6970909090909089,0.5630000000000001,2.2e-06,0.11874545454545456,0.04792727272727273,0.7144545454545453
New House,Rex Orange County,79yScU3wNnv2yPF3awYqnU,no,no,0.402,0.378,-8.682,0.0436,0.807,0.0,0.242,0.317,0.5790040816326529,0.5816734693877551,0.4372530612244901,0.0006984797959183675,0.16053061224489806,0.06872857142857144,0.3078775510204081
Kuntry & Wistern,Koe Wetzel,3GcZ6JWVoyqtTZS3BS47vI,no,no,0.503,0.812,-5.159,0.0384,0.181,0.0,0.8009999999999999,0.501,0.17184451612903226,0.516516129032258,0.6557741935483871,3.7741935483870967e-07,0.25541935483870976,0.044951612903225815,0.35958064516129035
Big Slimes (feat. Gunna & Lil Duke),Chris Brown,4dhZy7EbsbhwIS7C6Ct8mI,no,no,0.785,0.687,-9.241,0.168,0.0771,0.0,0.119,0.63,0.1018924382978722,0.6608510638297873,0.640302127659575,7.828408510638298e-05,0.17256382978723406,0.13003148936170206,0.4863744680851062
imagine if,gnash,7nDdxPUC5LbxmspeqkOzt8,no,no,0.907,0.452,-6.672999999999999,0.187,0.568,0.0,0.244,0.691,0.5092749999999999,0.6026249999999999,0.4097500000000001,0.0,0.26110625000000004,0.17548750000000002,0.3088375
Sleepless Nights (feat. Nightly),ayokay,4PUWpNtDejQwwa80LjvxXl,no,no,0.6629999999999999,0.696,-5.994,0.0349,0.0563,6.25e-06,0.226,0.449,0.2186142857142857,0.7157142857142856,0.6269999999999999,0.002395347142857143,0.15485714285714286,0.05312857142857143,0.326
Long Time,Lil Tjay,6GiOnqCGSAlSFDJeE175If,no,no,0.767,0.4920000000000001,-9.364,0.308,0.0264,0.0,0.311,0.194,0.21832440677966106,0.7064406779661018,0.6223898305084742,3.0984745762711862e-06,0.157042372881356,0.2150644067796611,0.4484644067796609
September 16,Russ,7a5RvlW5tMU0AZ4tvbGLhn,no,no,0.679,0.376,-12.39,0.395,0.947,0.0,0.115,0.321,0.968,0.17600000000000002,0.275,0.000177,0.106,0.0371,0.087
Love Her,Jonas Brothers,2hgk8iKN9UdoM4ILlJ9F5N,no,no,0.74,0.337,-6.039,0.0282,0.17800000000000002,0.0,0.0944,0.56,0.05436073647058825,0.5944823529411767,0.7572000000000001,0.00011095011764705888,0.19277882352941167,0.06069058823529413,0.6162000000000003
Leave (Get Out) - 2018,JoJo,6nIcGJK6Pj1ThzC6r8O8hA,no,no,0.491,0.73,-4.399,0.0432,0.039,0.0,0.112,0.461,0.02586,0.4772500000000001,0.70675,0.004778575,0.14787500000000006,0.11915,0.5081249999999999
Mind On My Murder,YNW Melly,2xBfOUdiRafSWGqTj4yToU,no,no,0.633,0.5589999999999999,-9.638,0.0458,0.0632,0.0,0.308,0.443,0.20908421052631584,0.7354736842105263,0.5608421052631579,0.00041774210526315786,0.13180000000000006,0.13338684210526314,0.4472368421052632
Leanin',Lil Peep,6cX1iTffMIAU8lEWSOYIIO,no,no,0.501,0.486,-6.6,0.0298,0.19,0.0,0.103,0.318,0.11991615529411764,0.5696470588235293,0.6104823529411769,0.026742352235294115,0.18697764705882355,0.0650870588235294,0.2728329411764706
The Muffin Song (asdfmovie),The Gregory Brothers,1LGv7Ah6TXp1soAAIzzuGC,no,no,0.911,0.8420000000000001,-4.845,0.0922,0.205,1.4800000000000002e-05,0.115,0.578,0.12986666666666666,0.8009999999999999,0.7600000000000001,4.933333333333332e-06,0.3336666666666667,0.08813333333333334,0.7720000000000001
Si Quieres,Neto Bernal,2pOES6MlMdLnp8X0tKVEUo,no,no,0.635,0.385,-4.984,0.0261,0.7,0.0,0.126,0.4970000000000001,0.7,0.635,0.385,0.0,0.126,0.0261,0.4970000000000001
Give Yourself A Try,The 1975,4rmIfFUZhhi9sS5IYtpkXw,no,no,0.334,0.7859999999999999,-5.002,0.0592,3.17e-05,0.0,0.517,0.901,0.15750231009009008,0.5568378378378379,0.6845549549549547,0.07334815549549553,0.22103963963963968,0.049974774774774806,0.4488432432432433
The Garden's Light,Trevor Kowalski,72cj11O7lJBQiLu3dXzKLV,no,no,0.354,0.015,-33.438,0.039,0.963,0.894,0.118,0.0899,0.963,0.354,0.015,0.894,0.11800000000000001,0.039,0.0899
the light is coming (feat. Nicki Minaj),Ariana Grande,0sdbFOyfgAhAhWq8DpzkaW,no,no,0.877,0.547,-5.705,0.18,0.0122,1.51e-05,0.028,0.687,0.2286584713375795,0.6288726114649683,0.6089171974522289,0.001027056942675159,0.20032038216560505,0.08820254777070066,0.4592796178343952
Here Again,Elevation Worship,1wuqCUWHniGdEmOKZbQ1cg,no,no,0.124,0.4370000000000001,-8.21,0.0409,0.0128,0.0,0.12,0.103,0.028999583333333325,0.3625,0.62875,5.608333333333334e-05,0.5175249999999999,0.03939583333333335,0.2210416666666666
Make Luv,Brent Faiyaz,2CInzVilMduj9L8dDXwyUA,no,no,0.653,0.414,-9.079,0.243,0.429,5.13e-05,0.114,0.261,0.4436000000000001,0.6250645161290321,0.3897741935483871,0.05141256129032256,0.16940322580645162,0.12819999999999998,0.33083870967741924
No Way!,Bazzi,0yYwS7CXKIPC4kWPvZQfsT,no,no,0.665,0.7090000000000001,-4.117,0.0407,0.174,0.0,0.142,0.35700000000000004,0.985,0.5695,0.2425,0.7989999999999999,0.40399999999999997,0.0839,0.75
Pull Up (feat. Key!),Matt Ox,4JzRE2FdTcXTqEMMyRhYKg,no,no,0.777,0.595,-4.534,0.0606,0.112,1.14e-06,0.147,0.445,0.07973333333333334,0.775,0.5363333333333333,3.8e-07,0.141,0.06353333333333333,0.487
Astronauts,Future,2vs5ubqg8QUbfyWZpMfvWe,no,no,0.732,0.586,-7.8679999999999986,0.232,0.0402,2.66e-06,0.121,0.73,0.042,0.442,0.953,0.0,0.20600000000000002,0.326,0.4320000000000001
Impossible,Travis Scott,0IabpxMpUV7waD7U4uDIMJ,no,no,0.507,0.464,-8.531,0.171,0.398,2.62e-05,0.603,0.277,0.1443984236453202,0.7004827586206902,0.6079999999999997,0.0011170188177339901,0.20018029556650244,0.11478719211822665,0.34624482758620684
Burning House,Cam,2zhk0kypGeOPsaaZcjyc14,no,no,0.728,0.253,-8.427,0.0304,0.887,1.11e-05,0.133,0.457,0.426,0.589,0.42100000000000004,0.4970000000000001,0.193,0.0604,0.705
Rough Ryder,YoungBoy Never Broke Again,73C80fhriFzangrzWVO4Zp,no,no,0.623,0.721,-4.584,0.339,0.371,0.0,0.109,0.7190000000000001,0.19854981132075467,0.7049811320754721,0.6665974842767295,6.610062893081759e-08,0.16261509433962262,0.2635949685534591,0.5361635220125784
Think of You,Chris Young,6W9W8dSswA8KNegvl3W97V,no,no,0.616,0.893,-3.588,0.0375,0.000937,0.0,0.111,0.5670000000000001,0.3062189672131148,0.5588524590163934,0.6834590163934426,0.00014722721311475413,0.15709836065573776,0.03658524590163935,0.4937213114754097
